adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Burkina Faso,42,BFA,BF,,Centre-Ouest,40281,BFA050,BF50,Sissili,154459,BFA050003,BF5003,357008,1,335587,14280,7140,0,0,7140,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Centre-Ouest,40281,BFA050,BF50,Ziro,154460,BFA050004,BF5004,256032,1,240670,10241,5121,0,0,5121,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Bazega,154461,BFA051001,BF5101,297489,1,243941,44623,8925,0,0,8925,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Nahouri,154462,BFA051002,BF5102,207239,1,172008,24869,10362,0,0,10362,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Centre-Sud,40282,BFA051,BF51,Zoundweogo,154463,BFA051003,BF5103,330487,1,271000,52878,6610,0,0,6610,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Centre,40278,BFA013,BF13,Kadiogo,154450,BFA013000,BF1300,3212986,1,2827428,257039,128519,0,0,128519,current,2,Jan-May,2021,2,Jan-May,2021,1,1,3,1,Y
Burkina Faso,42,BFA,BF,,Est,40283,BFA052,BF52,Gnagna,154464,BFA052001,BF5201,716085,2,472616,164700,78769,0,0,78769,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Est,40283,BFA052,BF52,Gourma,154465,BFA052002,BF5202,463240,2,291841,115810,55589,0,0,55589,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Est,40283,BFA052,BF52,Komonjdjari,154466,BFA052003,BF5203,111862,3,61524,22372,16779,11186,0,27965,current,2,Jan-May,2021,2,Jan-May,2021,4,3,2,1,Y
Burkina Faso,42,BFA,BF,,Est,40283,BFA052,BF52,Kompienga,154467,BFA052004,BF5204,124669,2,76048,36154,12467,0,0,12467,current,2,Jan-May,2021,2,Jan-May,2021,3,1,2,1,Y
Burkina Faso,42,BFA,BF,,Est,40283,BFA052,BF52,Tapoa,154468,BFA052005,BF5205,641089,2,416708,147450,76931,0,0,76931,current,2,Jan-May,2021,2,Jan-May,2021,2,3,2,1,Y
Burkina Faso,42,BFA,BF,,Nord,40285,BFA054,BF54,Loroum,154472,BFA054001,BF5401,209961,3,86084,60889,52490,10498,0,62988,current,2,Jan-May,2021,2,Jan-May,2021,2,3,3,1,Y
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Ganzourgou,154476,BFA055001,BF5501,510441,1,449188,51044,10209,0,0,10209,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Kourweogo,154477,BFA055002,BF5502,191976,2,132463,47994,11519,0,0,11519,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
